"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
ipaq_walk_time_2;dp_next;;descriptive;"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Hvor meget tid de sidste 7 dage har du brugt </span>på at sidde ned på en ugedag?<span style=""font-weight: normal;""> (Skriv tid i timer og minutter pr. dag)</span></p> <div style=""width: 100%; max-width: 100%;""> <div style=""display: block; width: 100%; margin-bottom: 6px;""> <p> </p> <table style=""border-collapse: collapse; width: 52.1986%; height: 47.5px;"" border=""1""><colgroup><col style=""width: 45.2131%;""><col style=""width: 54.7869%;""></colgroup> <tbody> <tr style=""height: 23.75px;""> <td style=""border-style: hidden;"">Timer </td> <td style=""border-style: hidden;"">Minutter </td> </tr> <tr style=""height: 23.75px;""> <td style=""border-style: hidden;"">{ipaq_sit_hours}</td> <td style=""border-style: hidden;"">{ipaq_sit_minutes}</td> </tr> </tbody> </table> </div> </div> <p> </p></div>";;"Skriv tiden i timer og minutter (fx 1,2 svarende til 1 time og 20 minutter)";;;;;;;LV;;;;"amount of time the participant spend on walking"
ipaq_sit_hours;dp_next;;text;;;;integer;0;12;;;;;;;;
ipaq_sit_minutes;dp_next;;text;;;;integer;0;60;;;;;;;;
ipaq_end;dp_next;"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt;"">SmartWatches og andre instrumenter</span></p></div>";text;;;;datetime_seconds_dmy;;;;;;;;;;" @HIDDEN-SURVEY @NOW"
ipaq_compl_time;dp_next;;calc;;"datediff([mctq_end],[ipaq_end],""s"",true)";;;;;;;;;;;;" @HIDDEN-SURVEY"
use_personal_tracker;dp_next;;radio;"Bruger du i din hverdag  et smartwatch/aktivitetsur og/eller din mobiltelefon til at holde øje med din fysiske aktivitet, træning eller søvn?";"1, Ja | 0, Nej";;;;;;;;LV;;;;
health_tracker_devices;dp_next;;checkbox;"Hvad bruger du typisk til at holde øje med aktivitet/træning/søvn?";"1, Smartwatch/aktivitetsur (fx Garmin, Apple Watch, Fitbit, Polar  m.fl.)|2, Mobiltelefon (fx Apple Health, Google Fit, Samsung Health m.fl.)|3, Andre instrumenter eller måleenheder";"Du kan sætte adskillige krydser";;;;;"[use_personal_tracker] = '1'";;LV;;;;
other_health_tracker;dp_next;;notes;"Hvis du trykkede ""andet"" - hvilket instrument(er) / måleenhed(er)? (det kunne fx være oura ring  en glukose-måler (dexcom/Freestyle Libre) eller andet du bærer på kroppen dagligt eller de fleste dage)""";;;;;;;"[health_tracker_devices(3)] = '1'";;LV;;;;
smart_watch_type;dp_next;;dropdown;"Hvilket mærke af smartwatch?";"1, Apple Watch (Apple)|2, Garmin|3, Fitbit|4, Samsung Galaxy Watch|5, Polar|6, Suunto|7, Huawei Watch|8, Xiaomi / Mi Band|9, Andet mærke|10, kender ikke mærket";;;;;;"[health_tracker_devices(1)] = '1'";;LV;;;;
smartphone_brand;dp_next;;dropdown;"Hvilket type smartphone har du?";"1, Android (fx Samsung, Xiaomi, OnePlus, Huawei m.fl.)|2, Apple iPhone (iOS)|3, Andet|9, Ved ikke";;;;;;"[health_tracker_devices(2)] = '1'";;LV;;;;
smart_phone_other;dp_next;;notes;"hvis ""anden"" smartphone - hvilken?";;"Lad feltet stå tomt, hvis du ikke ved det";;;;;"[smartphone_brand] = '3'";;LV;;;;
health_data_intro;dp_next;;descriptive;"<div class=""rich-text-field-label""><p><span style=""font-size: 12pt;"">Du må her meget gerne åbne den app du normalt bruger (fx Apple Health, Google Fit, Garmin Connect, Fitbit osv.) og kopiere de tal, du kan se derfra.</span><br><br>Svar kun på de spørgsmål, hvor du nemt kan finde oplysningerne - resten kan du springe over.</p></div>";;;;;;;"[use_personal_tracker] = '1'";;;;;;
mvpa_can_report;dp_next;;radio;"Kan du i din app se et mål for daglig ""aktiv tid"" eller træningsminutter (fx ""aktive minutter"", ""intensiv aktivitet"" eller lignende)?";"1, Ja, jeg kan se aktiv tid/træningsminutter|0, Nej, jeg kan ikke finde oplysningerne";;;;;;"[use_personal_tracker] = '1'";;LV;;;;
mvpa_min_7d;dp_next;;text;"Hvor mange minutters aktivitet/træning udfører du i gennemsnit pr. dag ifølge din app (fx gennemsnit for de seneste 7 dage)?";;"Angiv tiden i hele minutter (fx. 60).";integer;0;600;;"[mvpa_can_report] = '1'";;LV;;;;
steps_can_report;dp_next;;radio;"Kan du se dine skridttal i din app lige nu (fx for de seneste 7 dage)?";"1, Ja, jeg kan se skridttal | 0, Nej, jeg kan ikke finde oplysningerne";;;;;;"[use_personal_tracker] = '1'";;LV;;;;
step_avg_7d;dp_next;;text;"Hvor mange skridt går du i gennemsnit pr. dag ifølge din app (fx gennemsnit for de seneste 7 dage)?";;;;;;;"[steps_can_report] = '1'";;LV;;;;
sleep_can_report;dp_next;;radio;"Kan du se din søvnlængde i din app (fx gennemsnitlig søvn pr. nat for de seneste 7 dage)?";"1, Ja, jeg kan se søvnoplysninger|0, Nej, jeg kan ikke finde oplysningerne";;;;;;"[use_personal_tracker] = '1'";;LV;;;;
sleep_hours_avg;dp_next;;text;"Hvor mange timers søvn får du i gennemsnit pr. nat ifølge din app (fx gennemsnit for de seneste 7 dage)? - angiv i timer med et tal efter kommaet";;"(Du kan fx skrive 7,5 hvis app'en viser 7½ time.)";number_1dp_comma_decimal;0,0;24,0;;"[sleep_can_report] = '1'";;LV;;;;
rhr_can_report;dp_next;;radio;"Viser din app et mål for din hvilepuls (resting heart rate)?";"1, Ja, jeg kan se min hvilepuls|0, Nej, jeg kan ikke finde oplysningerne";;;;;;"[use_personal_tracker] = '1'";;LV;;;;
rhr_value;dp_next;;text;"Hvad er din hvilepuls ifølge app'en (fx gennemsnit for de seneste 7 dage)?";;"(i slag pr. minut / beats per minute (BPM)";integer;20;200;;"[rhr_can_report] = '1'";;LV;;;;
vo2max_can_report;dp_next;;radio;"Viser dit ur eller din app et mål for din kondition (fx ""VO₂max"", ""kondital"" eller lignende)?";"1, Ja, jeg kan se et mål for VO₂max/kondital|0, Nej, jeg kan ikke finde oplysningerne";;;;;;"[use_personal_tracker] = '1'";;LV;;;;
vo2max_value;dp_next;;text;"Hvad er din VO₂max og/eller kondital ifølge app'en (Kondital angives normalt i ml/kg/min og ligger typisk omkring 20-60 hos voksne. Skriv kun tallet  fx 38. Hvis du bruger en anden enhed (eks. VO₂max) kan det skrives i feltet)";;;;;;;"[vo2max_can_report] = '1'";;LV;;;;
healthdata_other;dp_next;;notes;"Er der andre sundhedsdata fra dit ur/din app, som du synes er vigtige (fx blodtryk, blodsukker, stressscore, ""body battery"" eller lignende)? Hvis der er kan du angive detaljer i dette tekstfelt";;;;;;;"[use_personal_tracker] = '1'";;LV;;;;
healthtrack_end;dp_next;"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt;"">Viden om sundhed</span></p></div>";text;;;;datetime_seconds_dmy;;;;;;;;;;" @HIDDEN-SURVEY @NOW"
healthtrack_compl;dp_next;;calc;;"datediff([ipaq_end],[healthtrack_end],""s"",true)";;;;;;;;;;;;" @HIDDEN-SURVEY"
bhla_intro;dp_next;;descriptive;"Vælg den mulighed nedenfor, der bedst beskriver din mening.

Jeg er sikker på at...";;;;;;;;;;;;;
bhla_knowledge;dp_next;;radio;"Jeg har god viden om sundhed";"1, Slet ikke rigtigt | 2, Ikke helt rigtigt | 3, Nogenlunde rigtigt | 4, Helt rigtigt";;;;;;;;;;mg_aa0595;;"the participant has good knowledge about health"
bhla_health_ideas;dp_next;;radio;"Jeg kan komme med ideer til at forbedre sundheden i mine nære omgivelser (fx et sted i nærheden, min familie, venner)";"1, Slet ikke rigtigt | 2, Ikke helt rigtigt | 3, Nogenlunde rigtigt | 4, Helt rigtigt";;;;;;;;;;mg_aa0595;;"the participant can share knowledge about health with friends and family"
bhla_comp_info;dp_next;;radio;"Jeg kan sammenligne information om sundhed fra forskellige kilder";"1, Slet ikke rigtigt | 2, Ikke helt rigtigt | 3, Nogenlunde rigtigt | 4, Helt rigtigt";;;;;;;;;;mg_aa0595;;"the participant can compare health cnowledge"
bhla_follow_instruct;dp_next;;radio;"Jeg kan følge de anvisninger, jeg får fra sundhedspersonale (fx sygeplejerske eller læge)";"1, Slet ikke rigtigt | 2, Ikke helt rigtigt | 3, Nogenlunde rigtigt | 4, Helt rigtigt";;;;;;;;;;mg_aa0595;;"the participant can follow health recommendations"
bhla_better_health;dp_next;;radio;"Jeg kan nemt komme med eksempler på noget, der forbedrer sundhed";"1, Slet ikke rigtigt | 2, Ikke helt rigtigt | 3, Nogenlunde rigtigt | 4, Helt rigtigt";;;;;;;;;;mg_aa0595;;"the participant knows how to improve their health"
bhla_actions_eff;dp_next;;radio;"Jeg kan vurdere, hvordan mine handlinger påvirker naturen omkring mig";"1, Slet ikke rigtigt | 2, Ikke helt rigtigt | 3, Nogenlunde rigtigt | 4, Helt rigtigt";;;;;;;;;;mg_aa0595;;"the participant knows how to their actions effect health"
bhla_understa_health;dp_next;;radio;"Jeg kan finde information om sundhed, som jeg let kan forstå";"1, Slet ikke rigtigt | 2, Ikke helt rigtigt | 3, Nogenlunde rigtigt | 4, Helt rigtigt";;;;;;;;;;mg_aa0595;;"the participant can find health informations that are easy to understand"
bhla_health_behav;dp_next;;radio;"Jeg kan vurdere, hvordan min adfærd påvirker min sundhed";"1, Slet ikke rigtigt | 2, Ikke helt rigtigt | 3, Nogenlunde rigtigt | 4, Helt rigtigt";;;;;;;;;;mg_aa0595;;"the participant understands how behaviour effects health"
bhla_false_info;dp_next;;radio;"Jeg kan som regel vurdere, om information om sundhed er rigtig eller forkert";"1, Slet ikke rigtigt | 2, Ikke helt rigtigt | 3, Nogenlunde rigtigt | 4, Helt rigtigt";;;;;;;;;;mg_aa0595;;"the participant knows when health information is true or false"
bhla_argue_actions;dp_next;;radio;"Jeg kan begrunde de valg jeg træffer i forhold til min sundhed";"1, Slet ikke rigtigt | 2, Ikke helt rigtigt | 3, Nogenlunde rigtigt | 4, Helt rigtigt";;;;;;;;;;mg_aa0595;;"the participant can justify the choices they make"
bhla_end;dp_next;"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt;"">Personlighedstræk</span></p></div>";text;;;;datetime_seconds_dmy;;;;;;;;;;" @HIDDEN-SURVEY @NOW"
bhla_compl_time;dp_next;;calc;;"datediff([healthtrack_end],[bhla_end],""s"",true)";;;;;;;;;;;;" @HIDDEN-SURVEY"
bfis_intro;dp_next;;descriptive;"Her er nogle karaktertræk som måske eller måske ikke passer på dig. For eksempel: Er du enig i, at du er en person, der... kan lide at bruge tid sammen med andre? Sæt kryds ud fra hvert udsagn alt efter hvor enig eller uenig du er i, at udsagnet beskriver dig.
Jeg er en der...";;;;;;;;;;;;;
bfis_quiet;dp_next;;radio;"Er en stille type.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant is a quiet type"
bfis_compassion;dp_next;;radio;"Er medfølende, har et stort hjerte.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant has a big heart"
bfis_disorganized;dp_next;;radio;"Er lidt uorganiseret.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant is unorganized"
bfis_worried;dp_next;;radio;"Bekymrer sig meget.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant worry a lot"
bfis_artistic;dp_next;;radio;"Er optaget af kunst, musik og/eller litteratur.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant loves art and music"
bfis_control;dp_next;;radio;"Ofte tager styringen.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant takes control often"
bfis_rude;dp_next;;radio;"Nogle gange er grov og uhøflig over for andre.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant can be rude towads others"
bfis_motivation;dp_next;;radio;"Har svært ved at komme i gang med opgaver.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant has trouble getting started on tasks"
bfis_depressed;dp_next;;radio;"Har tendens til at føle sig deprimeret, nedtrykt.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant feels depressed"
bfis_not_abstract;dp_next;;radio;"Har ringe interesse i abstrakte idéer.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant has no interest in abstract ideas"
bfis_energetic;dp_next;;radio;"Er fuld af energi.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant is full of energy"
bfis_naive;dp_next;;radio;"Tænker det bedste om folk.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant sees the best in people"
bfis_reliable;dp_next;;radio;"Er pålidelig, gør som aftalt.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant is trustworthy"
bfis_stable;dp_next;;radio;"Er følelsesmæssigt stabil, bliver sjældent oprevet.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant is emotionally stable"
bfis_innovative;dp_next;;radio;"Er nyskabende, finder på nye idéer.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant is innovative"
bfis_social;dp_next;;radio;"Er udadvendt, social.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant is social"
bfis_indifferent;dp_next;;radio;"Kan være kold og ligeglad med andre.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant can be careless"
bfis_organized;dp_next;;radio;"Holder ting i pæn og ryddelig orden.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant is organized"
bfis_relaxed;dp_next;;radio;"Er afslappet, kan håndtere stress.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant is relaxed"
bfis_not_artistic;dp_next;;radio;"Har få kunstneriske interesser.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant has few artistic interests"
bfis_compliant;dp_next;;radio;"Foretrækker at andre bestemmer.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant prefer others to decide"
bfis_respectful;dp_next;;radio;"Er respektfuld, behandler andre med respekt.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant is respectful"
bfis_persistent;dp_next;;radio;"Er vedholdende, fortsætter indtil opgaven er løst.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant is persistent"
bfis_self_assured;dp_next;;radio;"Føler sig tryg, har det godt med sig selv.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant feel safe"
bfis_considerate;dp_next;;radio;"Er tænksom, reflekterer over ting.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant is considerate"
bfis_less_energetic;dp_next;;radio;"Er mindre energisk end andre.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant is less engergetic compared to others"
bfis_dependent;dp_next;;radio;"Ofte finder fejl ved andre.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant sees other's mistakes"
bfis_reckless;dp_next;;radio;"Kan være lettere skødesløs.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant can be reckless"
bfis_emotional;dp_next;;radio;"Er temperamentsfuld, bliver nemt følelsesmæssigt oprørt.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant has a temperament"
bfis_not_creative;dp_next;;radio;"Ikke er så kreativ.";"1, Helt uenig|2, Delvist uenig|3, Neutral|4, Delvist enig|5, Helt enig";;;;;;;;;;mg_67dd8d;;"the participant not creative"
bfis_end;dp_next;"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt;"">Kost</span></p></div>";text;;;;datetime_seconds_dmy;;;;;;;;;;" @HIDDEN-SURVEY @NOW"
bfi2s_compl_time;dp_next;;calc;;"datediff([bhla_end],[bfis_end],""s"",true)";;;;;;;;;;;;" @HIDDEN-SURVEY"
diet_intro;dp_next;;radio;"Følger du en bestemt kostplan hvor du undgår bestemt fødevarer eller kun spiser på bestemte tidspunkter (eksempelvis vegetar, carnivore, veganer m.fl.) ?";"1, Ja|2, Nej";;;;;;;;LV;;;;
diet_foods;dp_next;;radio;"Hvilken kostform følger du?";"1, Carnivore (spiser kun kød)|2, Flexitar (spiser sjældent kød)|3, Pescetar (spiser ikke kød, men spiser fisk)|4, Vegetar (spiser ikke kød eller fisk)|5, Veganer (spiser ikke kød, fisk, mejeriprodukter eller æg)|6, Mediterranean Diet (meget grønt, fuldkorn, fisk, olivenolie, begrænset rødt kød)|7, Stenalderkost / paleo (kød, fisk, grønt, nødder; ingen kornprodukter og raffineret sukker)|8, Atkins (lavkulhydratkost med relativt højt protein- og fedtindtag)|9, Ketogen diæt (meget få kulhydrater, højt fedtindtag)|10, Raw food (primært rå, uforarbejdede fødevarer)|11, Intermittent fasting (spiser kun inden for bestemte tidsvinduer)|12, Anden diæt";;;;;;([diet_intro]=1);;LV;;;;
diet_foods_other;dp_next;;text;"Angiv hvilken anden diæt du følger?";;"Skriv dit svar i tekst ";alpha_only;;;;([diet_foods]=12);;LV;;;;
diet_fasting;dp_next;;text;"På hvilke tidspunkter af døgnet spiser du?";;"Skriv mellem hvilket klokkeslæt du spiser (fx. 12.00-18.00)";;;;;([diet_foods]=11);;LV;;;;
diet_time;dp_next;;radio;"Hvor længe har du fulgt denne kostform?";"1, Hele livet|2, 20+år|3, 10-19 år|4, 5-9 år|5, 3-4 år|6, 1-2 år|7, 6 måneder - 1 år|8, 1-6 måneder|9, Mindre end 1 måned|10, Er lige startet (en uge eller mindre)";;;;;;([diet_intro]=1);;LV;;;;
aebq2;dp_next;"Nedenstående udsagn handler om din generelle spiseadfærd og din holdning til mad.

Læs venligst hvert udsagn og sæt kryds ved det udsagn der passer bedst for dig";radio;"Jeg beslutter ofte, at jeg ikke kan lide maden, inden jeg smager på den";"1, Meget uenig|2, Uenig|3, Hverken enig eller uenig|4, Enig|5, Meget enig";;;;;;;;;;mg_f4276c;;
aebq5;dp_next;;radio;"Jeg spiser mere, når jeg er irriteret";"1, Meget uenig|2, Uenig|3, Hverken enig eller uenig|4, Enig|5, Meget enig";;;;;;;;;;mg_f4276c;;
aebq7;dp_next;;radio;"Jeg afviser nye typer mad i starten";"1, Meget uenig|2, Uenig|3, Hverken enig eller uenig|4, Enig|5, Meget enig";;;;;;;;;;mg_f4276c;;
aebq8;dp_next;;radio;"Jeg spiser mere, når jeg er bekymret";"1, Meget uenig|2, Uenig|3, Hverken enig eller uenig|4, Enig|5, Meget enig";;;;;;;;;;mg_f4276c;;
aebq9;dp_next;;radio;"jeg spiser mere, når jeg er oprevet";"1, Meget uenig|2, Uenig|3, Hverken enig eller uenig|4, Enig|5, Meget enig";;;;;;;;;;mg_f4276c;;
aebq10;dp_next;;radio;"Jeg nyder at smage nye madvarer";"1, Meget uenig|2, Uenig|3, Hverken enig eller uenig|4, Enig|5, Meget enig";;;;;;;;;;mg_f4276c;;
aebq11;dp_next;;radio;"Jeg spiser mere, når jeg er ængstelig";"1, Meget uenig|2, Uenig|3, Hverken enig eller uenig|4, Enig|5, Meget enig";;;;;;;;;;mg_f4276c;;
aebq12;dp_next;;radio;"Jeg spiser mere, når jeg er vred";"1, Meget uenig|2, Uenig|3, Hverken enig eller uenig|4, Enig|5, Meget enig";;;;;;;;;;mg_f4276c;;
aebq13;dp_next;;radio;"Jeg kan godt lide mange forskellige slags mad";"1, Meget uenig|2, Uenig|3, Hverken enig eller uenig|4, Enig|5, Meget enig";;;;;;;;;;mg_f4276c;;
genralfood_end;dp_next;"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt;"">Madoplevelser og spisetrang</span><br><br>(dette er det sidste spørgeskema)</p></div>";text;;;;datetime_seconds_dmy;;;;;;;;;;" @HIDDEN-SURVEY @NOW"
gen_food_compl_time;dp_next;;calc;;"datediff([bfis_end],[genralfood_end],""s"",true)";;;;;;;;;;;;" @HIDDEN-SURVEY"
myfas_intro;dp_next;;descriptive;"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Folk har sommetider vanskeligt ved at kontrollere, hvor meget de spiser af bestemte madvarer som fx:</span></p> <p><span style=""font-weight: normal;""> -Søde sager som is, chokolade, doughnuts/wienerbrød, småkager, kage, slik</span></p> <p><span style=""font-weight: normal;"">-Kulhydrater som hvidt brød, rundstykker/boller, pasta og ris</span></p> <p><span style=""font-weight: normal;"">-Saltede snacks som chips, saltstænger og saltkiks-Fed mad som bøf, bacon, hamburgere, cheeseburgere, pizza og pomfritter</span></p> <p><span style=""font-weight: normal;"">-Sukkerholdige drikkevarer som sodavand, saftevand, sportsdrikke og energidrikke. </span></p> <p><span style=""font-weight: normal;"">Når de følgende spørgsmål spørger til ""BESTEMTE MADVARER"", bedes du tænke på HVILKEN SOM HELST type madvarer eller drikkevarer svarende til dem fra ovennævnte mad- og drikkevare grupper - eller HVILKEN SOM HELST ANDEN type mad, som du har haft problemer med gennem det seneste år.</span></p> <p> </p> <p>De næste spørgsmål handler om hvorvidt du kan opleve fx stærk trang, kontroltab eller at fortsætte med at spise på trods af ubehag.</p> <p>Besvar følgende spørgsmål baseret på de seneste 12 måneder.</p></div>";;;;;;;;;;;;;
myfas_feeling_sick;dp_next;;radio;"Jeg spiste, indtil jeg blev fysisk dårlig.";"0, Aldrig | 1, Mindre end en gang om måneden | 2, En gang om måneden | 3, 2-3 gange om måneden | 4, En gang om ugen | 5, 2-3 gange om ugen | 6, 4-6 gange om ugen | 7, Hver dag";;;;;;;;;;mg_9b4933;;"the participant eats until they feel sick"
myfas_sluggish;dp_next;;radio;"Jeg brugte meget tid på at føle mig sløv eller træt på grund af overspisningen.";"0, Aldrig | 1, Mindre end en gang om måneden | 2, En gang om måneden | 3, 2-3 gange om måneden | 4, En gang om ugen | 5, 2-3 gange om ugen | 6, 4-6 gange om ugen | 7, Hver dag";;;;;;;;;;mg_9b4933;;"the participant feels tired due to overeating"
myfas_overeat;dp_next;;radio;"Jeg undgik arbejde, skole eller sociale aktiviteter, fordi jeg var bange for, at jeg ville overspise der.";"0, Aldrig | 1, Mindre end en gang om måneden | 2, En gang om måneden | 3, 2-3 gange om måneden | 4, En gang om ugen | 5, 2-3 gange om ugen | 6, 4-6 gange om ugen | 7, Hver dag";;;;;;;;;;mg_9b4933;;"the participant avoided social activities due to overeating"
myfas_emo_eating;dp_next;;radio;"Hvis jeg havde følelsesmæssige problemer, fordi jeg ikke havde spist bestemte madvarer, spiste jeg denne slags mad for at få det bedre.";"0, Aldrig | 1, Mindre end en gang om måneden | 2, En gang om måneden | 3, 2-3 gange om måneden | 4, En gang om ugen | 5, 2-3 gange om ugen | 6, 4-6 gange om ugen | 7, Hver dag";;;;;;;;;;mg_9b4933;;"the participant ate certain foods to feel better"
myfas_worry;dp_next;;radio;"Mine spisevaner har givet mig mange bekymringer.";"0, Aldrig | 1, Mindre end en gang om måneden | 2, En gang om måneden | 3, 2-3 gange om måneden | 4, En gang om ugen | 5, 2-3 gange om ugen | 6, 4-6 gange om ugen | 7, Hver dag";;;;;;;;;;mg_9b4933;;"The participant has many worries due to food"
myfas_life_probs;dp_next;;radio;"Jeg havde betydelige problemer i mit liv på grund af mad og spisning.";"0, Aldrig | 1, Mindre end en gang om måneden | 2, En gang om måneden | 3, 2-3 gange om måneden | 4, En gang om ugen | 5, 2-3 gange om ugen | 6, 4-6 gange om ugen | 7, Hver dag";;;;;;;;;;mg_9b4933;;"the participant had many problems in life due to food"
myfas_overeating_impa;dp_next;;radio;"Min overspisning forhindrede mig i at tage mig af min familie eller udføre huslige pligter.";"0, Aldrig | 1, Mindre end en gang om måneden | 2, En gang om måneden | 3, 2-3 gange om måneden | 4, En gang om ugen | 5, 2-3 gange om ugen | 6, 4-6 gange om ugen | 7, Hver dag";;;;;;;;;;mg_9b4933;;"the participant overeating prevents the him/her from taking care of their family"
myfas_cont_overeat;dp_next;;radio;"Jeg fortsatte med at spise på samme måde, selvom min spisning gav mig følelsesmæssige problemer.";"0, Aldrig | 1, Mindre end en gang om måneden | 2, En gang om måneden | 3, 2-3 gange om måneden | 4, En gang om ugen | 5, 2-3 gange om ugen | 6, 4-6 gange om ugen | 7, Hver dag";;;;;;;;;;mg_9b4933;;"the participant continues eating the same way, even though it makes them feel bad"
myfas_less_enjoy;dp_next;;radio;"Jeg opnåede ikke lige så stor nydelse ved at spise den samme mængde mad, som jeg plejede.";"0, Aldrig | 1, Mindre end en gang om måneden | 2, En gang om måneden | 3, 2-3 gange om måneden | 4, En gang om ugen | 5, 2-3 gange om ugen | 6, 4-6 gange om ugen | 7, Hver dag";;;;;;;;;;mg_9b4933;;"the participant doesn't get the same good feeling form the same foods anymore"
myfas_craving_obses;dp_next;;radio;"Jeg havde så stærk trang til at spise bestemte madvarer, at jeg ikke kunne tænke på noget andet.";"0, Aldrig | 1, Mindre end en gang om måneden | 2, En gang om måneden | 3, 2-3 gange om måneden | 4, En gang om ugen | 5, 2-3 gange om ugen | 6, 4-6 gange om ugen | 7, Hver dag";;;;;;;;;;mg_9b4933;;"the participant felt the urge to eat a certain food"
myfas_lack_restraint;dp_next;;radio;"Jeg forsøgte at skære ned på eller holde op med at spise bestemte madvarer, men jeg kunne ikke.";"0, Aldrig | 1, Mindre end en gang om måneden | 2, En gang om måneden | 3, 2-3 gange om måneden | 4, En gang om ugen | 5, 2-3 gange om ugen | 6, 4-6 gange om ugen | 7, Hver dag";;;;;;;;;;mg_9b4933;;"the participant is trying to stop eating certain foods, but can't"
